Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Hugo Lloris (c),France,1,GK, (1986-12-26),57,,Tottenham Hotspur,England,2014-06-12
Mathieu Debuchy,France,2,DF, (1985-07-28),21,,Newcastle United,England,2014-06-12
Patrice Evra,France,3,DF, (1981-05-15),58,,Manchester United,England,2014-06-12
Raphaël Varane,France,4,DF, (1993-04-25),6,,Real Madrid,Spain,2014-06-12
Mamadou Sakho,France,5,DF, (1990-02-13),19,,Liverpool,England,2014-06-12
Yohan Cabaye,France,6,MF, (1986-01-14),30,,Paris Saint-Germain,France,2014-06-12
Rémy Cabella[90],France,7,MF, (1990-03-08),1,,Montpellier,France,2014-06-12
Mathieu Valbuena,France,8,MF, (1984-09-28),34,,Marseille,France,2014-06-12
Olivier Giroud,France,9,FW, (1986-09-30),30,,Arsenal,England,2014-06-12
Karim Benzema,France,10,FW, (1987-12-19),66,,Real Madrid,Spain,2014-06-12
Antoine Griezmann,France,11,FW, (1991-03-21),4,,Real Sociedad,Spain,2014-06-12
Rio Mavuba,France,12,MF, (1984-03-08),12,,Lille,France,2014-06-12
Eliaquim Mangala,France,13,DF, (1991-02-13),3,,Porto,Portugal,2014-06-12
Blaise Matuidi,France,14,MF, (1987-04-09),23,,Paris Saint-Germain,France,2014-06-12
Bacary Sagna,France,15,DF, (1983-02-14),41,,Arsenal[91],England,2014-06-12
Stéphane Ruffier[92],France,16,GK, (1986-09-27),2,,Saint-Étienne,France,2014-06-12
Lucas Digne,France,17,DF, (1993-07-20),2,,Paris Saint-Germain,France,2014-06-12
Moussa Sissoko,France,18,MF, (1989-08-16),17,,Newcastle United,England,2014-06-12
Paul Pogba,France,19,MF, (1993-03-15),11,,Juventus,Italy,2014-06-12
Loïc Rémy,France,20,FW, (1987-01-02),25,,Newcastle United[93],England,2014-06-12
Laurent Koscielny,France,21,DF, (1985-09-10),17,,Arsenal,England,2014-06-12
Morgan Schneiderlin[94],France,22,MF, (1989-11-08),1,,Southampton,England,2014-06-12
Mickaël Landreau,France,23,GK, (1979-05-14),11,,Bastia,France,2014-06-12
