Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Tim Howard,United States,1,GK, (1979-03-06),100,,Everton,England,2014-06-12
DeAndre Yedlin,United States,2,DF, (1993-07-09),4,,Seattle Sounders FC,United States,2014-06-12
Omar Gonzalez,United States,3,DF, (1988-10-11),20,,LA Galaxy,United States,2014-06-12
Michael Bradley,United States,4,MF, (1987-07-31),86,,Toronto FC,Canada,2014-06-12
Matt Besler,United States,5,DF, (1987-02-11),17,,Sporting Kansas City,United States,2014-06-12
John Brooks,United States,6,DF, (1993-01-28),4,,Hertha BSC,Germany,2014-06-12
DaMarcus Beasley,United States,7,DF, (1982-05-24),116,,Puebla,Mexico,2014-06-12
Clint Dempsey (c),United States,8,FW, (1983-03-09),105,,Seattle Sounders FC,United States,2014-06-12
Aron Jóhannsson,United States,9,FW, (1990-11-10),8,,AZ,Netherlands,2014-06-12
Mix Diskerud,United States,10,MF, (1990-10-02),20,,Rosenborg,Norway,2014-06-12
Alejandro Bedoya,United States,11,MF, (1987-04-29),28,,Nantes,France,2014-06-12
Brad Guzan,United States,12,GK, (1984-09-09),25,,Aston Villa,England,2014-06-12
Jermaine Jones,United States,13,MF, (1981-11-03),42,,Beşiktaş,Turkey,2014-06-12
Brad Davis,United States,14,MF, (1981-11-08),16,,Houston Dynamo,United States,2014-06-12
Kyle Beckerman,United States,15,MF, (1982-04-23),37,,Real Salt Lake,United States,2014-06-12
Julian Green,United States,16,MF, (1995-06-06),2,,Bayern Munich,Germany,2014-06-12
Jozy Altidore,United States,17,FW, (1989-11-06),70,,Sunderland,England,2014-06-12
Chris Wondolowski,United States,18,FW, (1983-01-28),21,,San Jose Earthquakes,United States,2014-06-12
Graham Zusi,United States,19,MF, (1986-08-18),23,,Sporting Kansas City,United States,2014-06-12
Geoff Cameron,United States,20,DF, (1985-07-11),27,,Stoke City,England,2014-06-12
Timothy Chandler,United States,21,DF, (1990-03-29),13,,1. FC Nürnberg,Germany,2014-06-12
Nick Rimando,United States,22,GK, (1979-06-17),14,,Real Salt Lake,United States,2014-06-12
Fabian Johnson,United States,23,DF, (1987-12-11),22,,1899 Hoffenheim[141],Germany,2014-06-12
