Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Joseph Alcazar,France,,FW, (1911-06-15),9,,Marseille,France,1934-05-27
Alfred Aston,France,,FW, (1912-05-16),4,,Red Star Paris,France,1934-05-27
Georges Beaucourt,France,,MF, (1912-04-15),0,,Lille,France,1934-05-27
Roger Courtois,France,,FW, (1912-05-30),1,,Sochaux,France,1934-05-27
Robert Défossé,France,,GK, (1909-06-16),8,,Lille,France,1934-05-27
Edmond Delfour,France,,MF, (1907-11-01),24,,Racing Club,France,1934-05-27
Célestin Delmer,France,,MF, (1907-02-15),11,,Excelsior Roubaix,France,1934-05-27
Louis Gabrillargues,France,,MF, (1914-06-16),0,,Sète,France,1934-05-27
Joseph Gonzales,France,,DF, (1907-02-19),0,,Fives,France,1934-05-27
Fritz Keller,France,,FW, (1913-08-21),1,,Strasbourg,France,1934-05-27
Pierre Korb,France,,FW, (1908-04-20),12,,Mulhouse,France,1934-05-27
Lucien Laurent,France,,FW, (1907-12-10),9,,CA Paris,France,1934-05-27
Noël Liétaer,France,,MF, (1908-11-17),5,,Excelsior Roubaix,France,1934-05-27
René Llense,France,,GK, (1913-07-14),0,,Sète,France,1934-05-27
Jacques Mairesse,France,,DF, (1905-02-27),5,,Red Star Paris,France,1934-05-27
Étienne Mattler,France,,DF, (1905-12-25),21,,Sochaux,France,1934-05-27
Jean Nicolas,France,,FW, (1913-06-09),11,,Rouen,France,1934-05-27
Roger Rio,France,,MF, (1913-02-13),10,,Rouen,France,1934-05-27
Alex Thépot (c),France,,GK, (1906-07-30),27,,Red Star Paris,France,1934-05-27
Jules Vandooren,France,,DF, (1908-12-30),7,,Lille,France,1934-05-27
Émile Veinante,France,,FW, (1907-06-12),11,,Racing Club,France,1934-05-27
Georges Verriest,France,,MF, (1909-07-15),4,,Excelsior Roubaix,France,1934-05-27
