Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Nahuel Guzmán,Argentina,1,GK, (1986-02-10),6,0,UANL,Mexico,2018-06-14
Gabriel Mercado,Argentina,2,DF, (1987-03-18),20,3,Sevilla,Spain,2018-06-14
Nicolás Tagliafico,Argentina,3,DF, (1992-08-31),4,0,Ajax,Netherlands,2018-06-14
Cristian Ansaldi,Argentina,4,DF, (1986-09-20),5,0,Torino,Italy,2018-06-14
Lucas Biglia,Argentina,5,MF, (1986-01-30),57,1,Milan,Italy,2018-06-14
Federico Fazio,Argentina,6,DF, (1987-03-17),9,1,Roma,Italy,2018-06-14
Éver Banega,Argentina,7,MF, (1988-06-29),62,6,Sevilla,Spain,2018-06-14
Marcos Acuña,Argentina,8,DF, (1991-10-28),10,0,Sporting CP,Portugal,2018-06-14
Gonzalo Higuaín,Argentina,9,FW, (1987-12-10),71,31,Juventus,Italy,2018-06-14
Lionel Messi (captain),Argentina,10,FW, (1987-06-24),124,64,Barcelona,Spain,2018-06-14
Ángel Di María,Argentina,11,MF, (1988-02-14),94,19,Paris Saint-Germain,France,2018-06-14
Franco Armani,Argentina,12,GK, (1986-10-16),0,0,River Plate,Argentina,2018-06-14
Maximiliano Meza,Argentina,13,MF, (1992-12-15),2,0,Independiente,Argentina,2018-06-14
Javier Mascherano,Argentina,14,DF, (1984-06-08),143,3,Hebei China Fortune,China,2018-06-14
Enzo Pérez,Argentina,15,MF, (1986-02-22),23,1,River Plate,Argentina,2018-06-14
Marcos Rojo,Argentina,16,DF, (1990-03-20),56,2,Manchester United,England,2018-06-14
Nicolás Otamendi,Argentina,17,DF, (1988-02-12),54,4,Manchester City,England,2018-06-14
Eduardo Salvio,Argentina,18,DF, (1990-07-13),9,0,Benfica,Portugal,2018-06-14
Sergio Agüero,Argentina,19,FW, (1988-06-02),85,37,Manchester City,England,2018-06-14
Giovani Lo Celso,Argentina,20,MF, (1996-04-09),5,0,Paris Saint-Germain,France,2018-06-14
Paulo Dybala,Argentina,21,FW, (1993-11-15),12,0,Juventus,Italy,2018-06-14
Cristian Pavón,Argentina,22,MF, (1996-01-21),5,0,Boca Juniors,Argentina,2018-06-14
Willy Caballero,Argentina,23,GK, (1981-09-28),3,0,Chelsea,England,2018-06-14
