Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Cláudio Taffarel,Brazil,1,GK, (1966-05-08),59,,Reggiana,Italy
Jorginho,Brazil,2,DF, (1964-08-17),45,,Bayern Munich,Germany
Ricardo Rocha,Brazil,3,DF, (1962-09-11),36,,Vasco da Gama,Brazil
Ronaldão,Brazil,4,DF, (1965-06-19),7,,Shimizu S-Pulse,Japan
Mauro Silva,Brazil,5,MF, (1968-01-12),35,,Deportivo La Coruña,Spain
Branco,Brazil,6,DF, (1964-04-04),67,,Fluminense,Brazil
Bebeto,Brazil,7,FW, (1964-02-16),53,,Deportivo La Coruña,Spain
Dunga (c),Brazil,8,MF, (1963-10-31),43,,VfB Stuttgart,Germany
Zinho,Brazil,9,MF, (1967-06-17),30,,Palmeiras,Brazil
Raí (c),Brazil,10,MF, (1965-05-15),43,,Paris Saint-Germain,France
Romário,Brazil,11,FW, (1966-01-29),31,,Barcelona,Spain
Zetti,Brazil,12,GK, (1965-01-10),7,,São Paulo,Brazil
Aldair,Brazil,13,DF, (1965-11-30),21,,Roma,Italy
Cafu,Brazil,14,DF, (1970-06-07),30,,São Paulo,Brazil
Márcio Santos,Brazil,15,DF, (1969-09-15),27,,Bordeaux,France
Leonardo,Brazil,16,MF, (1969-09-05),12,,São Paulo,Brazil
Mazinho,Brazil,17,MF, (1966-04-08),29,,Palmeiras,Brazil
Paulo Sérgio,Brazil,18,MF, (1969-06-02),10,,Bayer Leverkusen,Germany
Müller,Brazil,19,FW, (1966-01-31),53,,São Paulo,Brazil
Ronaldo,Brazil,20,FW, (1976-09-22),3,,Cruzeiro,Brazil
Viola,Brazil,21,FW, (1969-01-01),5,,Corinthians,Brazil
Gilmar Rinaldi,Brazil,22,GK, (1959-01-13),7,,Flamengo,Brazil
