Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Fabián Carini,Uruguay,1,GK, (1979-12-26),35,,Juventus,Italy
Gustavo Méndez,Uruguay,2,DF, (1971-02-03),44,,Nacional,Uruguay
Alejandro Lembo,Uruguay,3,DF, (1978-02-15),30,,Nacional,Uruguay
Paolo Montero (c),Uruguay,4,DF, (1971-09-03),44,,Juventus,Italy
Pablo García,Uruguay,5,MF, (1977-05-11),35,,Venezia,Italy
Darío Rodríguez,Uruguay,6,DF, (1974-09-17),20,,Peñarol,Uruguay
Gianni Guigou,Uruguay,7,MF, (1975-02-22),35,,Roma,Italy
Gustavo Varela,Uruguay,8,FW, (1978-05-14),8,,Nacional,Uruguay
Darío Silva,Uruguay,9,FW, (1972-11-02),36,,Málaga,Spain
Fabián O'Neill,Uruguay,10,MF, (1973-10-14),19,,Perugia,Italy
Federico Magallanes,Uruguay,11,FW, (1976-08-22),24,,Venezia,Italy
Gustavo Munúa,Uruguay,12,GK, (1978-01-27),8,,Nacional,Uruguay
Sebastián Abreu,Uruguay,13,FW, (1976-10-17),13,,Cruz Azul,Mexico
Gonzalo Sorondo,Uruguay,14,DF, (1979-10-09),18,,Inter Milan,Italy
Nicolás Olivera,Uruguay,15,FW, (1978-05-30),25,,Sevilla,Spain
Marcelo Romero,Uruguay,16,MF, (1976-07-04),21,,Málaga,Spain
Mario Regueiro,Uruguay,17,MF, (1978-09-14),14,,Racing Santander,Spain
Richard Morales,Uruguay,18,FW, (1975-02-21),12,,Nacional,Uruguay
Joe Bizera,Uruguay,19,DF, (1980-05-17),9,,Peñarol,Uruguay
Álvaro Recoba,Uruguay,20,MF, (1976-03-17),42,,Inter Milan,Italy
Diego Forlán,Uruguay,21,FW, (1979-05-19),4,,Manchester United,England
Gonzalo de los Santos,Uruguay,22,MF, (1976-07-19),29,,Valencia,Spain
Federico Elduayen,Uruguay,23,GK, (1977-06-25),1,,Peñarol,Uruguay
