Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
David James,England,1,GK, (1970-08-01),50,,Portsmouth,England,2010-06-11
Glen Johnson,England,2,DF, (1984-08-23),22,,Liverpool,England,2010-06-11
Ashley Cole,England,3,DF, (1980-12-20),78,,Chelsea,England,2010-06-11
Steven Gerrard (c),England,4,MF, (1980-05-30),80,,Liverpool,England,2010-06-11
Michael Dawson[5],England,5,DF, (1983-11-18),0,,Tottenham Hotspur,England,2010-06-11
John Terry,England,6,DF, (1980-12-07),60,,Chelsea,England,2010-06-11
Aaron Lennon,England,7,MF, (1987-04-16),17,,Tottenham Hotspur,England,2010-06-11
Frank Lampard,England,8,MF, (1978-06-20),78,,Chelsea,England,2010-06-11
Peter Crouch,England,9,FW, (1981-01-30),38,,Tottenham Hotspur,England,2010-06-11
Wayne Rooney,England,10,FW, (1985-10-24),60,,Manchester United,England,2010-06-11
Joe Cole,England,11,MF, (1981-11-08),54,,Chelsea,England,2010-06-11
Robert Green,England,12,GK, (1980-01-18),10,,West Ham United,England,2010-06-11
Stephen Warnock,England,13,DF, (1981-12-12),1,,Aston Villa,England,2010-06-11
Gareth Barry,England,14,MF, (1981-02-23),36,,Manchester City,England,2010-06-11
Matthew Upson,England,15,DF, (1979-04-18),19,,West Ham United,England,2010-06-11
James Milner,England,16,MF, (1986-01-04),8,,Aston Villa,England,2010-06-11
Shaun Wright-Phillips,England,17,MF, (1981-10-25),31,,Manchester City,England,2010-06-11
Jamie Carragher,England,18,DF, (1978-01-28),36,,Liverpool,England,2010-06-11
Jermain Defoe,England,19,FW, (1982-10-07),39,,Tottenham Hotspur,England,2010-06-11
Ledley King,England,20,DF, (1980-10-12),20,,Tottenham Hotspur,England,2010-06-11
Emile Heskey,England,21,FW, (1978-01-11),58,,Aston Villa,England,2010-06-11
Michael Carrick,England,22,MF, (1981-07-28),22,,Manchester United,England,2010-06-11
Joe Hart,England,23,GK, (1987-04-19),3,,Birmingham City,England,2010-06-11
